lon,lat,shortdescription,equipmentno
-73.98164872301398,40.76824953177606,"('Street to downtown 1 & A/B/C/D mezzanine', 'Street to uptown 1 & A/B/C/D', 'Uptown 1 to uptown A/B/C/D', 'Mezzanine to uptown A/B/C/D', 'Mezzanine to downtown platforms')","('EL276X', 'EL280', 'EL279', 'EL278', 'EL277')"
-73.98168087489128,40.7309749758006,"('Street to Brooklyn-bound platform', 'Street to 8 Av-bound platform')","('EL293', 'EL292')"
-73.98177094440949,40.69064811996979,"('Mezzanine to Brooklyn-bound platform', 'Mezzanine to Manhattan-bound platform', 'Street to mezzanine')","('EL372', 'EL371', 'EL370')"
-73.98178001069293,40.61145578989,"('Mezzanine to Coney Island-bound platform', 'Mezzanine to Manhattan-bound platform', 'Street to mezzanine')","('EL378', 'EL377', 'EL376')"
-73.98192900232715,40.7682470006368,"('Street to downtown 1 & A/B/C/D mezzanine', 'Street to uptown 1 & A/B/C/D', 'Uptown 1 to uptown A/B/C/D', 'Mezzanine to uptown A/B/C/D', 'Mezzanine to downtown platforms')","('EL276X', 'EL280', 'EL279', 'EL278', 'EL277')"
-73.98197000159583,40.7784530006861,"('Street to mezzanine', 'Street to mezzanine', 'Street to mezzanine', 'Street to mezzanine', 'Street to mezzanine', 'Mezzanine to platform', 'Street to downtown platform', 'Street to uptown platform')","('EL267', 'EL266', 'EL265', 'EL264', 'EL262', 'EL259', 'EL240', 'EL239')"
-73.98220899995783,40.7734400005203,"('Street to uptown platform', 'Street to downtown platform')","('EL237', 'EL238')"
-73.98384899986625,40.7617279996141,"('Street to downtown C', 'Downtown C to downtown E')","('EL207X', 'EL208X')"
-73.98420956591096,40.75980197387069,"('Street to uptown platform',)","('EL268X',)"
-73.98426400110407,40.74306999925903,"('Street to downtown platform',)","('EL279X',)"
-73.98598400026407,40.7624559992599,"('Street to downtown C', 'Downtown C to downtown E')","('EL207X', 'EL208X')"
-73.98605667854612,40.6922553964532,"('Mezzanine to Brooklyn-bound A/C/F', 'Mezzanine to Manhattan-bound A/C/F', 'Street to mezzanine', 'Mezzanine to R platform')","('EL708', 'EL707', 'EL706', 'EL709')"
-73.98622899953202,40.75598300057007,"('Mezzanine to downtown N/Q/R/W', 'Street to mezzanine', 'Street to mezzanine', 'Mezzanine to uptown 1/2/3', 'Mezzanine to 7 & downtown 1/2/3', 'Mezzanine to uptown N/Q/R/W')","('EL229', 'EL619', 'EL231X', 'EL233', 'EL232', 'EL230')"
-73.98659900207888,40.7398640004746,"('Street to downtown platform', 'Street to uptown platform')","('EL299', 'EL298')"
-73.98676800153976,40.7546119985154,"('Mezzanine to downtown N/Q/R/W', 'Street to mezzanine', 'Street to mezzanine', 'Mezzanine to uptown 1/2/3', 'Mezzanine to 7 & downtown 1/2/3', 'Mezzanine to uptown N/Q/R/W')","('EL229', 'EL619', 'EL231X', 'EL233', 'EL232', 'EL230')"
-73.98721815267317,40.69247063684708,"('Mezzanine to Brooklyn-bound A/C/F', 'Mezzanine to Manhattan-bound A/C/F', 'Street to mezzanine', 'Mezzanine to R platform')","('EL708', 'EL707', 'EL706', 'EL709')"
-73.98749500051885,40.7552899999568,"('Mezzanine to downtown N/Q/R/W', 'Street to mezzanine', 'Street to mezzanine', 'Mezzanine to uptown 1/2/3', 'Mezzanine to 7 & downtown 1/2/3', 'Mezzanine to uptown N/Q/R/W')","('EL229', 'EL619', 'EL231X', 'EL233', 'EL232', 'EL230')"
-73.98769099825152,40.7554770019825,"('Mezzanine to downtown N/Q/R/W', 'Street to mezzanine', 'Street to mezzanine', 'Mezzanine to uptown 1/2/3', 'Mezzanine to 7 & downtown 1/2/3', 'Mezzanine to uptown N/Q/R/W')","('EL229', 'EL619', 'EL231X', 'EL233', 'EL232', 'EL230')"
